Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
^	NULL				
$	NULL				
a	a	k’ak’al, balamil	Zinacantán Tzotzil	848	U+0061
i	i	ni7il, chi7ilil	Zinacantán Tzotzil	557	U+0069
o	o	k’ok’, 7okol	Zinacantán Tzotzil	526	U+006f
e	e	melel, 7etelil	Zinacantán Tzotzil	401	U+0065
l$	l	satil, k’ak’al	Zinacantán Tzotzil	393	U+006c U+0024
u	u	k’un, k’usuk 7u7un	Zinacantán Tzotzil	347	U+0075
k	k	k’ok’, 7ak’ob k’ok’	Zinacantán Tzotzil	343	U+006b
’	<?>	k’ak’al, k’ok’	Zinacantán Tzotzil	333	U+2019
t	t	muk’ta totil, satil	Zinacantán Tzotzil	285	U+0074
_	_	k’u cha7al, tik’ riosh to 7o7on	Zinacantán Tzotzil	259	U+005f
l	l	meltzan, mulilal k’op	Zinacantán Tzotzil	255	U+006c
n	n	shokon vinahel, 7unen	Zinacantán Tzotzil	215	U+006e
^7	<?>	7a7i, 7al	Zinacantán Tzotzil	203	U+005e U+0037
^t	t	tam, tak’i	Zinacantán Tzotzil	184	U+005e U+0074
7	<?>	7a7i, 7a7ibe 7ik’	Zinacantán Tzotzil	171	U+0037
n$	n	chon, k’un	Zinacantán Tzotzil	151	U+006e U+0024
^k	k	k’ok’, k’ak’al	Zinacantán Tzotzil	150	U+005e U+006b
b	b	7ibel, k’obol	Zinacantán Tzotzil	129	U+0062
^ch	ch	chon, chih	Zinacantán Tzotzil	119	U+005e U+0063 U+0068
^p	p	pas, patil	Zinacantán Tzotzil	106	U+005e U+0070
a$	a	ta, 7ora	Zinacantán Tzotzil	103	U+0061 U+0024
m	m	momil, balamil	Zinacantán Tzotzil	102	U+006d
ch	ch	k’u cha7al, be ch’ich’elil	Zinacantán Tzotzil	101	U+0063 U+0068
^m	m	meltzan, momil	Zinacantán Tzotzil	100	U+005e U+006d
z	z	tzotz, meltzan	Zinacantán Tzotzil	100	U+007a
r	r	7ora, pas preva	Zinacantán Tzotzil	98	U+0072
^n	n	na7, nab	Zinacantán Tzotzil	88	U+005e U+006e
^h	h	hik’av, hobel	Zinacantán Tzotzil	85	U+005e U+0068
o$	o	buro, tyempo	Zinacantán Tzotzil	82	U+006f U+0024
p	p	k’opoh, hposhtavaneh	Zinacantán Tzotzil	78	U+0070
’$	<?>	k’ok’, 7ak’	Zinacantán Tzotzil	77	U+2019 U+0024
s	s	7osil, rosa	Zinacantán Tzotzil	77	U+0073
k$	k	chauk, sak	Zinacantán Tzotzil	76	U+006b U+0024
h	h	shokon vinahel, tohol	Zinacantán Tzotzil	74	U+0068
v	v	7avan, hposhtavaneh	Zinacantán Tzotzil	73	U+0076
^v	v	vun, vo7	Zinacantán Tzotzil	71	U+005e U+0076
^b	b	bon, boh	Zinacantán Tzotzil	71	U+005e U+0062
h$	h	chih, boh	Zinacantán Tzotzil	70	U+0068 U+0024
7$	<?>	na7, li7	Zinacantán Tzotzil	66	U+0037 U+0024
^l	l	li7, lus	Zinacantán Tzotzil	61	U+005e U+006c
sh	sh	tishk’uh, mishmish k’op	Zinacantán Tzotzil	59	U+0073 U+0068
^s	s	satil, sak	Zinacantán Tzotzil	52	U+005e U+0073
y	y	toyol, kaya	Zinacantán Tzotzil	45	U+0079
t$	t	bat, 7ut	Zinacantán Tzotzil	41	U+0074 U+0024
